taxon	rank	direction	p	q	median_case	median_control	mean_log1p_case	mean_log1p_control	prevalence_case	prevalence_control	rank_biserial	in_bugsigdb	bugsigdb_direction
enterococcus	genus	increased	0.0	0.0	0.002348	0.0	0.005017	0.004957	0.826531	0.112	0.653306	True	increased
alistipes indistinctus	species	increased	0.0	0.0	0.0	0.0	0.005547	8.2e-05	0.479592	0.004	0.474082	False	
marvinbryantia	genus	decreased	0.0	0.0	0.004479	0.08814	0.012914	0.096517	0.938776	0.936	-0.790612	True	decreased
olivibacter sitiensis	species	increased	0.0	0.0	0.0	0.0	0.00779	0.0	0.459184	0.0	0.459184	False	
victoria amazonica	species	increased	0.0	0.0	0.0	0.0	0.000808	0.0	0.459184	0.0	0.459184	False	
flavonifractor	genus	decreased	0.0	0.0	0.0	0.012093	0.0	0.017119	0.0	0.748	-0.748	True	decreased
olivibacter	genus	increased	0.0	0.0	0.0	0.0	0.00779	0.0	0.459184	0.0	0.459184	False	
treponema	genus	increased	0.0	0.0	0.0	0.0	0.001006	0.0	0.459184	0.0	0.459184	False	
victoria	genus	increased	0.0	0.0	0.0	0.0	0.000808	0.0	0.459184	0.0	0.459184	False	
bacteroides	species	decreased	0.0	0.0	0.0	0.017039	0.0	0.025349	0.0	0.74	-0.74	True	decreased
eubacterium biforme	species	increased	0.0	0.0	0.0	0.0	0.049334	0.0	0.44898	0.0	0.44898	False	
parabacteroides gordonii	species	increased	0.0	0.0	0.0	0.0	0.002731	7e-06	0.459184	0.004	0.455469	False	
prevotella nigrescens	species	increased	0.0	0.0	0.0	0.0	0.001038	1.7e-05	0.459184	0.004	0.453755	False	
actinobacillus	genus	increased	0.0	0.0	0.000702	0.0	0.007936	0.000313	0.581633	0.04	0.531673	False	
krokinobacter genikus	species	increased	0.0	0.0	0.0	0.0	0.000552	0.0	0.438776	0.0	0.438776	False	
rothia mucilaginosa	species	increased	0.0	0.0	0.0	0.0	0.001675	0.0	0.438776	0.0	0.438776	False	
krokinobacter	genus	increased	0.0	0.0	0.0	0.0	0.000552	0.0	0.438776	0.0	0.438776	False	
eubacterium eligens	species	decreased	0.0	0.0	0.0	0.019895	0.0	0.032305	0.0	0.72	-0.72	False	
adlercreutzia	genus	increased	0.0	0.0	0.002162	0.0	0.006897	0.001147	0.785714	0.116	0.622735	True	decreased
lautropia	genus	increased	0.0	0.0	0.000393	0.0	0.001838	0.000134	0.520408	0.024	0.492571	False	
sutterella	genus	increased	0.0	0.0	1.155617	0.105779	0.838468	0.229151	1.0	0.848	0.762776	False	
thiomonas	genus	increased	0.0	0.0	0.0	0.0	0.001983	0.000132	0.479592	0.012	0.462571	False	
macellibacteroides	genus	decreased	0.0	0.0	0.0	0.013076	0.0	0.019348	0.0	0.708	-0.708	False	
clostridium methylpentosum	species	increased	0.0	0.0	0.0	0.0	0.002001	3e-05	0.438776	0.004	0.433592	False	
brevibacillus reuszeri	species	increased	0.0	0.0	0.0	0.0	0.0005	0.0	0.418367	0.0	0.418367	False	
romboutsia	genus	decreased	0.0	0.0	0.0	0.021657	0.0	0.067473	0.0	0.7	-0.7	True	decreased
solobacterium	genus	decreased	0.0	0.0	0.0	0.014284	0.0	0.028096	0.0	0.7	-0.7	False	
sharpea	genus	increased	0.0	0.0	0.0	0.0	0.003197	2.9e-05	0.428571	0.004	0.423592	False	
eubacterium cylindroides	species	increased	0.0	0.0	0.0	0.0	0.005206	0.0	0.408163	0.0	0.408163	False	
pygmaiobacter	genus	decreased	0.0	0.0	0.0	0.009048	0.0	0.012326	0.0	0.676	-0.676	False	
oligella	genus	increased	0.0	0.0	0.0	0.0	0.000856	0.0	0.397959	0.0	0.397959	False	
thiobacillus	genus	increased	0.0	0.0	0.0	0.0	0.005462	1e-06	0.408163	0.004	0.405796	False	
streptococcus infantis	species	increased	0.0	0.0	0.0	0.0	0.000484	0.0	0.387755	0.0	0.387755	False	
clostridium butyricum	species	increased	0.0	0.0	0.0	0.0	0.007194	4.7e-05	0.428571	0.012	0.41502	True	increased
hydrogenoanaerobacterium	genus	decreased	0.0	0.0	0.0	0.00912	0.0	0.012119	0.0	0.656	-0.656	False	
cc 115	genus	increased	0.0	0.0	0.0	0.0	0.001394	0.0	0.377551	0.0	0.377551	False	
staphylococcus epidermidis	species	increased	0.0	0.0	0.0	0.0	0.00043	0.0	0.367347	0.0	0.367347	False	
succinispira mobilis	species	increased	0.0	0.0	0.0	0.0	0.000717	0.0	0.367347	0.0	0.367347	False	
desulfotomaculum	genus	decreased	0.0	0.0	0.0	0.014885	0.000194	0.038419	0.244898	0.74	-0.674367	False	
selenomonas	genus	increased	0.0	0.0	0.001162	0.0	0.010894	0.001186	0.632653	0.1	0.529388	False	
coriobacterium	genus	increased	0.0	0.0	0.0	0.0	0.001601	0.000165	0.489796	0.036	0.445469	False	
limnohabitans	genus	increased	0.0	0.0	0.0	0.0	0.000592	0.0	0.357143	0.0	0.357143	False	
eisenbergiella	genus	decreased	0.0	0.0	0.0	0.007134	0.0	0.015332	0.0	0.624	-0.624	True	increased
sellimonas	genus	decreased	0.0	0.0	0.0	0.007025	0.0	0.012649	0.0	0.616	-0.616	False	
senegalimassilia	genus	decreased	0.0	0.0	0.0	0.008465	0.0	0.022737	0.0	0.616	-0.616	False	
succinispira	genus	increased	0.0	0.0	0.0	0.0	0.000717	3.3e-05	0.367347	0.004	0.361959	False	
beggiatoa	genus	increased	0.0	0.0	0.0	0.0	0.000893	0.0	0.346939	0.0	0.346939	False	
wohlfahrtiimonas	genus	increased	0.0	0.0	0.0	0.0	0.001252	0.0	0.346939	0.0	0.346939	False	
caproiciproducens	genus	decreased	0.0	0.0	0.0	0.007463	0.0	0.014227	0.0	0.608	-0.608	False	
collinsella	genus	decreased	0.0	0.0	0.050254	0.32602	0.118844	0.3724	0.887755	0.984	-0.668735	True	decreased
anaerosporobacter	genus	decreased	0.0	0.0	0.0	0.006163	0.0	0.019118	0.0	0.604	-0.604	False	
rc4-4	genus	increased	0.0	0.0	0.0	0.0	0.002017	0.0	0.336735	0.0	0.336735	False	
vagococcus	genus	increased	0.0	0.0	0.0	0.0	0.000471	0.0	0.336735	0.0	0.336735	False	
clostridiisalibacter	genus	increased	0.0	0.0	0.0	0.0	0.001084	0.000105	0.397959	0.016	0.377061	False	
oribacterium	genus	decreased	0.0	0.0	0.003499	0.029333	0.005661	0.033092	0.908163	0.872	-0.657388	False	
pontibacillus	genus	increased	0.0	0.0	0.0	0.0	0.001332	0.0	0.326531	0.0	0.326531	False	
catenibacterium	genus	decreased	0.0	0.0	0.0	0.030394	0.024329	0.092794	0.44898	0.852	-0.642531	True	decreased
epulopiscium	genus	increased	0.0	0.0	0.001564	0.0	0.022999	0.006669	0.826531	0.18	0.554082	False	
cronobacter dublinensis	species	increased	0.0	0.0	0.0	0.0	0.001545	0.0	0.316327	0.0	0.316327	False	
desulfosporosinus meridiei	species	increased	0.0	0.0	0.0	0.0	0.000412	0.0	0.316327	0.0	0.316327	False	
serratia symbiotica	species	increased	0.0	0.0	0.0	0.0	0.00088	0.0	0.316327	0.0	0.316327	False	
shewanella	genus	increased	0.0	0.0	0.0	0.0	0.000654	0.0	0.316327	0.0	0.316327	True	decreased
cetobacterium	genus	decreased	0.0	0.0	0.0	0.022353	0.01227	0.042917	0.285714	0.82	-0.626204	False	
atopobium vaginae	species	increased	0.0	0.0	0.0	0.0	0.000639	0.0	0.306122	0.0	0.306122	False	
mycobacterium	genus	increased	0.0	0.0	0.0	0.0	0.000398	0.0	0.306122	0.0	0.306122	False	
nesterenkonia	genus	increased	0.0	0.0	0.0	0.0	0.000743	0.0	0.306122	0.0	0.306122	False	
pseudoalteromonas	genus	increased	0.0	0.0	0.0	0.0	0.000611	0.0	0.306122	0.0	0.306122	False	
salinispora	genus	increased	0.0	0.0	0.0	0.0	0.000731	0.0	0.306122	0.0	0.306122	False	
ureibacillus	genus	increased	0.0	0.0	0.0	0.0	0.000316	0.0	0.306122	0.0	0.306122	False	
vibrio	genus	increased	0.0	0.0	0.0	0.0	0.001289	4.3e-05	0.346939	0.012	0.334857	False	
coprothermobacter	genus	decreased	0.0	0.0	0.0	0.006145	9.6e-05	0.01206	0.040816	0.58	-0.56098	False	
faecalitalea	genus	decreased	0.0	0.0	0.0	0.005244	0.0	0.014181	0.0	0.548	-0.548	False	
peptostreptococcus anaerobius	species	increased	0.0	0.0	0.0	0.0	0.000735	0.0	0.295918	0.0	0.295918	False	
prauserella rugosa	species	increased	0.0	0.0	0.0	0.0	0.000382	0.0	0.295918	0.0	0.295918	False	
pseudoxanthomonas mexicana	species	increased	0.0	0.0	0.0	0.0	0.00078	0.0	0.295918	0.0	0.295918	False	
ruminofilibacter xylanolyticum	species	increased	0.0	0.0	0.0	0.0	0.001099	0.0	0.295918	0.0	0.295918	False	
salinispora tropica	species	increased	0.0	0.0	0.0	0.0	0.000722	0.0	0.295918	0.0	0.295918	False	
symbiothrix	genus	decreased	0.0	0.0	0.0	0.005481	0.0	0.008873	0.0	0.544	-0.544	False	
parapedobacter	genus	increased	0.0	0.0	0.0	0.0	0.001606	0.0	0.295918	0.0	0.295918	False	
prauserella	genus	increased	0.0	0.0	0.0	0.0	0.000382	0.0	0.295918	0.0	0.295918	False	
pseudoxanthomonas	genus	increased	0.0	0.0	0.0	0.0	0.000789	0.0	0.295918	0.0	0.295918	False	
saccharofermentans	genus	decreased	0.0	0.0	0.0	0.004378	0.0	0.010861	0.0	0.54	-0.54	False	
stoquefichus	genus	decreased	0.0	0.0	0.0	0.004854	0.0	0.0097	0.0	0.54	-0.54	False	
clostridium	species	decreased	0.0	0.0	0.0	0.004487	0.0	0.008183	0.0	0.536	-0.536	True	mixed
brackiella oedipodis	species	increased	0.0	0.0	0.0	0.0	0.01678	3.4e-05	0.306122	0.004	0.302041	False	
fournierella	genus	decreased	0.0	0.0	0.0	0.005087	0.0	0.021112	0.0	0.536	-0.536	False	
brackiella	genus	increased	0.0	0.0	0.0	0.0	0.01678	3.4e-05	0.306122	0.004	0.302041	False	
prevotella tannerae	species	increased	0.0	0.0	0.0	0.0	0.00031	0.0	0.285714	0.0	0.285714	False	
